category_name,chinese_name,description
abies_concolor,白冷杉,"形态特征
高度：树高可达40-58.5米，胸径达99-271厘米。
花序：雌雄同株，雄花长1.6毫米，微红色，紧密地着生在1年生小枝下部；雌球花着生在1年生小枝上部。花期5-6月份。
球果：夏末成熟，长7.5-13厘米，颜色由微绿色变成棕色，成熟球果比重为0.85。
种子：9月份成熟，成熟3周后种子开始散落。
生长环境
原产于北美，天然分布于从太平洋沿岸的山岳地区到科罗拉多州中部，从俄勒冈州的中部到爱达荷州东南部，直至墨西哥北部。
生长于海拔600-3350米的地带，年降水量510-890毫米，通常冬季较长，生长季节较短。
主要价值
木材：白冷杉是通用的、可以满足各种造林目的的树种，木材可以直接用于建筑，也可以用于制作框架和板材。
观赏：幼树广泛用于圣诞树。
药用：树皮、叶和胶脂在传统医学中有一定用途，但缺乏科学证据支持其疗效，且过量摄入可能有害。"
abies_nordmanniana,高加索冷杉,"形态特征
高度：高可达61米，胸围5米。
树皮：幼树树皮光滑灰色，老树树皮粗糙，开裂。
叶片：生于枝下侧的叶水平状排列，上面的叶较短，向前斜伸。
球果：圆柱状，深棕色，种鳞近肾形，种子带翅。
生长环境
原产于小亚细亚高加索地区，生长在源自火成岩和花岗岩的深厚肥沃土壤上。
喜欢良好潮湿但不积水的土壤，在重粘土中生长良好。
喜欢微酸性条件，pH值低至约5，但比该属的许多其他成员更能耐受碱性条件。
主要价值
观赏：高加索冷杉是一种非常具有观赏性的树种，通常作为商业圣诞树种植。
木材：木材柔软而白色，用于建筑或纸浆。
造林：为山地造林和环境绿化、水土保持的优良树种。"
acer_campestre,栓皮槭,"形态特征
高度：高达15（-25）米。
树皮：灰色到浅棕色，随着年份的增长，逐渐形成纵向裂缝。
叶片：叶轮廓宽五边形，基部心形，秋季变黄色。
花序：伞房花序顶生，花淡黄绿色，5瓣，通常雌雄异株。
果实：翅果的翅近水平展开，无毛或短柔毛。
生长环境
生于海拔1600米以下的中温混合林地和栎属林地。
阳性或稍遮荫，在酸性和碱性土壤均能生长，耐干旱。"
acer_ginnala,茶条槭 ,"形态特征
高度：5-6米
树皮：粗糙、微纵裂，灰色，稀深灰色或灰褐色
枝条：小枝细瘦，近于圆柱形，无毛，当年生枝绿色或紫绿色，多年生枝淡黄色或黄褐色
叶片：长圆卵形或长圆椭圆形，长6-10厘米，宽4-6厘米，常较深的3-5裂
花序：伞房花序无毛，雄花与两性花同株，花瓣长圆卵形白色
果实：黄绿色或黄褐色，翅连同小坚果长2.5-3厘米
生长环境与分布
生长于海拔800米以下的丛林中
分布于中国黑龙江、吉林、辽宁等地，在蒙古、朝鲜和日本等国也有分布
应用价值
茶条槭的根、树皮、果实可入药，有祛风湿、活血、清热利咽的功效
观赏价值高，株形自然，可作绿篱及窄街、小巷行道树，丛植、群植于公园、绿地，还可作盆栽
嫩叶可加工制成茶叶，花为良好蜜源，种子可榨油，树皮纤维可代麻做纸浆、人造棉等原料，木材可供细木加工"
acer_griseum,血皮槭,"形态特征
高度：10-20米
树皮：赭褐色，常薄片状脱落
枝条：小枝圆柱形，当年生枝淡紫色，密被淡黄色长柔毛
叶片：小叶厚纸质，卵形、桶圆形或矩圆形，顶端钝尖
花序：聚伞花序被长柔毛，花瓣长圆状倒卵形
果实：果核黄褐色，翅成锐角或近直角
生长环境与分布
多生于海拔1500-2000米的疏林中
产于中国河南西南部、陕西南部、湖北西部、四川东部
应用价值
观赏价值高，适合小型造景，树皮薄纸状剥裂，奇特可观
木材坚硬细致，有光泽，是优良的建筑、家具用材
种子含油率高，优质清香，含较多的蛋白质和脂肪酸"
acer_negundo,梣叶枫,"形态特征
高度：9-15米
叶片：复叶，有小叶片3、5或7枚，叶缘有粗锯齿
果实：翅果，内有种子一粒
生长环境与分布
原产于美国中部及东部，引入欧洲后已广泛栽培
应用价值
观赏价值高，供观赏
树液可制糖浆或糖
木材供制条板箱、家具、纸浆及烧炭用
综上所述，茶条槭、血皮槭和梣叶枫在形态特征、生长环境和应用价值等方面均有显著差异。"
acer_palmatum,鸡爪槭,"形态特征
树皮深灰色，树冠伞形。
枝条开张，细弱，小枝紫或淡紫绿色，老枝淡灰紫色。
叶近圆形，基部心形或近心形。
伞房花萼片卵状披针形，花瓣椭圆形或倒卵形。
幼果紫红色，熟后褐黄色，果核球形，脉纹显著，两翅成钝角。
生长习性
弱阳性树种，耐半阴。
喜温暖湿润的气候和肥沃、湿润而排水良好的土壤。
耐寒性不强，酸性、中性及石灰质土均能适应。
主要价值
观赏价值高，入秋后叶色转为鲜红色，色艳如花。
对二氧化硫和烟尘等抵抗能力和吸收能力均较强，是较好的“四旁”绿化树种。
枝、叶辛，味微苦，能行气止痛，解毒消痛。"
acer_pensylvanicum,条纹槭,"形态特征
翅果的翅以锐角展开或宽展开，小坚果近扁平。
花黄绿色，5瓣，花梗纤细。
翅果长1.8-2.5厘米，翅以锐角展开或宽展开。
生长习性
原产于北美，广泛分布在美国东北部和加拿大东南部。
生长在棕色和灰棕色灰化土，也生长在强风化和浸出的灰化土以及深色黑化土壤上。
喜酸性土壤，深谷阴凉的北坡生长较好。
主要价值
富有观赏性，可作造林的中层树种或林缘树种。
在园林中多配置于大型乔木一角或群植作背景树。"
acer_platanoides,挪威槭,"形态特征
株高9-12米，叶片5裂，叶形秀丽。
早春开花，花黄绿色，伞状花序。
秋季叶色按品种不同可分为金黄、橙红、酱紫、紫红等色。
生长习性
性喜温凉气候，喜酸性土。
在肥沃有机土壤、腐殖质丰富、土壤深厚处生长旺盛。
较其他槭树更适应干燥、高温和碱性土壤，且耐寒性强，可耐-40℃低温。
主要价值
观赏价值高，是小型花园的优良树种，也可作为行道树栽培。
可与多种松柏类植物相搭配种植。"
acer_pseudoplatanus,欧亚槭,"形态特征
树高可达35米或以上，树皮由灰色变为浅棕色。
小枝无毛，紫红色到棕色。
叶纸质，轮廓宽五边形，基部心形，（3-）5裂。
生长习性
生于海拔700-2000米的混合落叶林。
耐干旱，能适应酸性土壤或石灰性介质，能承受含盐的海风。
耐寒极限-32℃。
主要价值
宜作盐碱地绿化的上层树种，海滨城市的行道树。
品种多样，如紫叶欧亚槭、壮丽欧亚槭等，均具有较高的观赏性。"
acer_rubrum,红花槭,"形态特征：
树冠圆形，叶对生，秋季叶片变为绚丽的红色。
茎干光滑无毛，随着生长会由绿色变成红色至棕色。
花小繁密，多红色，花期3-4月。
生长习性：
原产于美国东海岸，喜光，耐涝、喜肥，但不耐旱、不耐盐。
适合沙壤、黏土等多种土壤环境。
观赏与应用：
红花槭可配植为良好的庭阴树、行道树，也可在公园中孤植独立成景或片植，营造红色风景林。
其果实、树皮和叶子也有一定的经济价值。"
acer_saccharinum,银白槭,"形态特征：
树冠丰满，秋叶黄，生长速度快而旺盛。
树枝直立，叶片分裂，墨绿色，叶对生，秋季叶色亮黄色和柠檬色。
因其夏季叶背银色，故名银白槭。
生长习性：
原产于北美，后引入中国东北、华北地区栽培。
喜凉爽、潮湿、排水性好的酸性到碱性土壤，生长速度快，喜光，亦稍耐阴。
观赏与应用：
树形优美，树叶优雅，可植为行道树和风景树。
其木材为精细木制品用材，常用于乐器制造。"
acer_saccharum,糖槭,"形态特征：
树冠圆形，树皮黄褐色或灰褐色。
奇数羽状复叶，叶缘具疏锯齿，绿色；雌雄异株，雌花为总状花序，花小下垂。
翅果扁平，两果开展成锐角或近直角。
生长习性：
原产北美洲，中国东北、华北及以南地区多年引种栽培。
喜光，耐旱，喜干冷气候，耐轻度盐碱，耐烟尘，耐严寒。
观赏与应用：
糖槭树冠广阔，是理想的地市园林绿化树种。
其汁液可以制成糖槭浆，是烤松糕的必备调料。
木材中等硬度，轻重，淡黄褐色，可作为建筑、地板、家具等用材。"
aesculus_flava,黄花七叶树,"形态特征：
株高15米，叶对生，由5-7枚小叶组成的掌状复叶，具较长的叶柄。
小叶卵形，秋季变为红色。花黄色，花瓣4-5，倒卵形、倒披针形或匙形。
生长习性：
原产于美国中部和东部，中国可在北至华北，南至江苏、安徽、湖北北部区域内生长。
喜阳光，稍耐阴，也能耐寒，适宜生长于气候温暖湿润地区。
观赏与应用：
枝干挺拔，树姿优雅，花叶均具较高的观赏价值。
种子和幼枝外皮的乙醇制剂用于解热、治疗痒疮和静脉曲张等疾病。"
aesculus_glabra,光叶七叶树,"类似其他七叶树属植物，具有掌状复叶，叶片可能呈亮黄、棕红或桶红色，是良好的观赏植物。
具体生长习性和观赏价值可能因品种和生长环境而异。"
aesculus_hippocastamon,欧洲七叶树,"树冠宽广，树形优美，是欧洲常见的行道树和庭园树。
果实（马栗）具有毒性，需谨慎处理。"
aesculus_pavi,北美红花七叶树,"形态特征
落叶乔木，树高一般3-6米，最高可达12米。
树皮灰褐色，片状剥落，小枝粗壮，栗褐色，光滑无毛。
掌状复叶小叶通常5枚，成树5-7枚，无柄，叶片倒卵形至长椭圆形，边缘有不规则重锯齿。
花期4-5月，圆锥花序，红色，花枝长10-20厘米，每朵花长4厘米左右。
果球形或倒卵形，于9月下旬至10月中下旬成熟。
生长习性
喜阳光，稍耐阴，适生于气候温暖、湿润地区。
能耐-43℃低温，在深厚肥沃、排水良好的土壤中生长最好最快。
观赏与应用
北美红花七叶树姿态壮丽，树冠丰满，叶大奇特、形美，顶生红色总状花序，直立于叶簇之中，火红似华丽的烛台，十分美观。
为世界园林观赏绿化树种之一，可作为行道树和庭院观赏树，亦可配置于公园、庭院、厂矿和学校作为景观点缀树种。"
ailanthus_altissima,臭椿,"形态特征
落叶乔木，高可达30米，树冠阔大圆整，呈半球状。
小枝粗壮，奇数羽状复叶，基部有1—2对腺齿，臭椿的异味主要由此处发出。
花杂性异株，顶生圆锥花絮，柠檬黄色，翅果呈纺锤形，未熟时嫩黄色，熟时淡褐黄色或淡红褐色。
生长习性
喜光，生长较快，适应性强，耐干旱、瘠薄，但不耐水湿。
观赏与应用
臭椿树皮、根皮、果实可入药，有清热燥湿、止血、杀虫的功效。
用作建筑和家具用材，观赏树种和庭荫树种，强抗逆树种，造纸的材料等。
净化空气的能力强，椿叶可以饲养樗蚕，丝可织椿绸。"
albizia_julibrissin,合欢,"形态特征
落叶乔木，树高可达16米，人工特别养护的可达30米。
二回羽状复叶，羽片4-12对；小叶10-30对。
头状花序于枝顶排成圆锥花序；花粉红色，花萼管状，花萼、花冠外均被短柔毛；荚果带状，嫩荚有柔毛，老荚无毛。
生长习性
主要生长在温带、亚热带以及热带地区，喜光照，生态适应性强，耐瘠薄、抗逆性强、具极强的抗旱性、能适应多种气候条件，20℃左右为最适温度，冬季能耐-10℃低温。
观赏与应用
合欢的寓意为“百年好合”，树形美观优雅，花色鲜艳，可以净化空气，是一种保护生态的植物，还具有一定的药用价值。
合欢生长能力较强，培育成本较低，是具有较高园林绿化价值的植物。"
amelanchier_arborea,树唐棣,"形态特征
落叶灌木或小乔木，树高可达4.5-7.5米。
叶片在初生时覆盖有绒毛，成熟后变为绿色。秋季时叶片颜色丰富，从黄色、橘黄色到深红色。
花朵白色，花期在春季，与叶子生长同步。
果实从绿色逐渐变为红色，最后成熟时为黑紫色，味道甜美可食用。
生长习性
喜光，喜温暖湿润的气候。
耐寒、耐旱、耐瘠薄，适应性强，能在各种土壤环境中生长。
观赏与应用
树唐棣的秋季叶色变化丰富，花朵和果实也具有一定的观赏价值。
可用于边缘绿化，如河岸、岩石坡等地。
果实可食用，也可用于制作果酱等食品。"
amelanchier_canadensis,加拿大唐棣,"形态特征
落叶灌木或小乔木，树形优美。
叶片绿色，秋季转为黄色或红色。
花朵白色或粉红色，花期春季。
果实为浆果，成熟时呈暗紫色或黑色，味甜可食。
生长习性
喜光、耐寒、耐旱、耐盐碱。
适应性强，能在多种土壤环境中生长。
观赏与应用
观赏价值高，可用于园林绿化、庭院美化等。
果实富含营养，可食用或加工成果酱等食品。"
amelanchier_laevis,唐棣,"形态特征
落叶灌木或小乔木，树形、叶片、花朵和果实因品种而异。
叶片多为绿色，秋季可变为黄色、红色等。
花朵多为白色或粉红色，花期春季。
果实为浆果，成熟时颜色各异，味甜可食。
生长习性
喜光、耐寒、耐旱、耐盐碱。
适应性强，能在多种土壤环境中生长。
观赏与应用
观赏价值高，可用于园林绿化、庭院美化等。
果实富含营养，可食用或加工成果酱等食品。"
asimina_triloba,巴婆果,"形态特征
落叶乔木或灌木，树高可达12米。
叶片大而宽，深绿色。
花朵小，黄绿色，有香气。
果实为聚合果，形似香蕉，外皮绿色，成熟时变为黄色或棕色，内含多个黑色种子，果肉味甜可食。
生长习性
喜光、耐寒、耐旱、耐盐碱。
适应性强，能在多种土壤环境中生长。
观赏与应用
果实形状奇特，观赏价值高。
果实味甜可食，也可用于制作果汁等食品。"
betula_alleghaniensis,加拿大黄桦,"形态特征
落叶乔木，树高可达30米。
树皮光滑，呈黄灰色或黄褐色。
叶片卵形或椭圆形，边缘有细齿。
春季开花，雄花序下垂，雌花序短而直立。
生长习性
喜光、耐寒、耐旱、耐盐碱。
适应性强，能在多种土壤环境中生长。
观赏与应用
树干光滑，树皮颜色独特，观赏价值高。
木材纹理美观，可用于家具、建筑等领域。"
betula_jacqemontii,桦木科,"桦木科（学名：Betulaceae Gray）是山毛榉目下的一个科，模式属为桦木属。
该科植物主要为落叶乔木或灌木，小枝及叶有时具树脂腺体或腺点。
单叶互生，叶缘具重锯齿或单齿，叶脉羽状。
花单性，雌雄同株，风媒传粉；雄花序顶生或侧生，春季或秋季开放。果序多样，果为小坚果或坚果。
桦木科共6属，100余种，主要分布于北温带，在中国也有广泛分布。"
betula_lenta,黑桦,"形态特征
落叶乔木，树高可达30米，树冠宽广。
树皮光滑，呈深黑色或暗褐色，有纵裂纹。
叶片卵形至椭圆形，边缘有细齿，秋季变为黄色或橙红色。
生长习性
耐寒、耐旱、耐盐碱，适应性较强。
喜光照充足的环境，也能在部分遮阴的条件下生长。
观赏与应用
树皮颜色独特，秋季叶色鲜艳，是良好的观赏树种。
木材质地坚硬，可用于家具、建筑等领域。"
betula_nigra,河岸黑桦,"形态特征
与黑桦相似，但可能具有更强的耐水湿能力。
树冠形状和叶片特征可能因生长环境的不同而有所变化。
生长习性
适生于河岸、湿地等水分充足的环境中。
观赏与应用
除了作为观赏树种外，还能在生态修复和水土保持中发挥重要作用。"
betula_populifolia,灰桦,"形态特征
落叶乔木，树形优美，枝条下垂。
树皮灰色，光滑，有纵向裂纹。
叶片椭圆形或卵形，边缘有细齿，秋季变为黄色或金黄色。
生长习性
耐寒、耐旱、耐盐碱，适应性强。
喜光照充足的环境，也能在部分遮阴的条件下生长。
观赏与应用
枝条下垂，形成优雅的树冠，是城市绿化和园林造景中的常用树种。"
broussonettia_papyrifera,桦树,"形态特征
落叶乔木或灌木，树皮光滑或有裂纹，叶片多为卵形或椭圆形。
不同品种的桦树在树形、树皮颜色、叶片形态等方面可能存在差异。
生长习性
耐寒、耐旱、耐盐碱，适应性强。
喜光照充足的环境，但也能在部分遮阴的条件下生长。
观赏与应用
桦树是北方地区常见的绿化树种之一，具有较高的观赏价值。
木材质地优良，可用于家具、建筑等领域。"
carpinus_betulus,欧洲牲耳枥,"形态特征
落叶乔木或灌木，树皮灰色或灰褐色。
叶片椭圆形或卵形，边缘有细齿。
果实为坚果，包被在硬壳内。
生长习性
耐寒、耐旱、耐盐碱。
喜光照充足的环境，也能在部分遮阴的条件下生长。
观赏与应用
叶片和果实具有一定的观赏价值。
木材可用于家具、建筑等领域。"
carpinus_caroliniana,美洲鹅耳枥,"形态特征
落叶乔木或灌木，树形优美。
叶片形态和果实特征可能与欧洲牲耳枥相似，但存在细微差异。
生长习性
适应性强，能在多种土壤环境中生长。
观赏与应用
具有较高的观赏价值。
木材可用于家具、建筑等领域。"
carya_cordiformis,苦味山核桃,"形态特征
落叶乔木，树高可达30米，树冠宽广。
树皮粗糙，灰褐色，有深纵裂。
叶片椭圆形或卵形，边缘有细齿，秋季变为黄色或红褐色。
果实为坚果，外壳坚硬，内含油性种子，种子味苦。
生长习性
耐寒、耐旱、耐盐碱，适应性强。
喜光照充足的环境，也能在部分遮阴的条件下生长。
观赏与应用
木材坚硬且纹理美观，是制作高档家具、地板和乐器的优质材料。
果实虽味苦，但具有药用价值。"
carya_glabra,光皮山核桃,"形态特征
落叶乔木，树形高大。
树皮相对光滑，呈灰白色，有浅裂纹。
叶片形态与苦味山核桃相似，但可能更为宽大。
果实也为坚果，但外壳和种子的特性可能与苦味山核桃有所不同。
生长习性
喜光、耐寒、耐旱。
观赏与应用
木材同样具有价值，但可能不如苦味山核桃珍贵。
果实和种子也有一定的经济价值。"
carya_ovata,粗皮山核桃,"形态特征
落叶乔木，树皮特别粗糙，呈深灰褐色，有深纵裂和鳞片状剥落。
叶片边缘有锯齿状缺刻，与其他山核桃品种有所区别。
果实和种子的特征与其他山核桃相似。
生长习性
耐寒、耐旱、耐瘠薄。
观赏与应用
主要以木材利用为主，因其树皮粗糙而具有一定的观赏特色。"
carya_tomentosa,绒毛山核桃,"形态特征
落叶乔木，树高可达30米。
幼枝、幼叶及芽鳞均密被柔毛，这是其显著特征。
叶片较大，椭圆形或卵形，边缘有细齿。
果实为坚果，外壳有细绒毛，内含油性种子。
生长习性
耐寒、耐旱、耐盐碱。
喜光照充足的环境。
观赏与应用
木材具有价值，但更常用于制作工艺品和家具配件。
果实和种子也有一定的经济价值。"
castanea_dentata,美国栗,"形态特征
落叶乔木，树高可达30米，树冠宽广。
树皮灰褐色，有深纵裂。
叶片椭圆形或披针形，边缘有锯齿。
果实为坚果，外包刺壳，成熟时开裂，内含大型种子，即栗子。
生长习性
耐寒、耐旱、耐瘠薄。
喜光照充足的环境，但也能在部分遮阴的条件下生长。
观赏与应用
果实可食用，营养丰富。
木材也可用于家具制作。"
catalpa_bignonioides,美国梓树,"形态特征
落叶乔木，树形高大优美。
叶片大而宽，心形或掌状复叶。
花朵大而美丽，多为白色或淡紫色，具有芳香。
果实为长条形荚果。
生长习性
喜光、耐寒、耐旱。
观赏与应用
因其花朵美丽而常作为观赏树种。
木材也有一定的利用价值。"
catalpa_speciosa,黄金树,"形态特征
落叶乔木，树形高大挺拔，树冠呈伞形。
叶片宽大，呈掌状复叶，小叶对生或互生，边缘有锯齿。
花朵金黄色，大而美丽，具有浓郁的芳香，常成簇开放。
果实为长条形荚果，成熟时开裂。
生长习性
喜光、耐寒、耐旱、耐盐碱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长最佳。
观赏与应用
因其金黄色的花朵而备受喜爱，是优秀的观花树种。
木材纹理通直，质地轻软，可用于家具、建筑等领域。"
cedrus_atlantica,大西洋雪松,"形态特征
常绿乔木，树形高大雄伟，树冠呈尖塔形。
树皮红褐色，裂成鳞片状块片脱落。
叶片为针形，深绿色，有光泽。
球果较大，成熟时红褐色。
生长习性
喜温暖湿润的气候，耐寒性较强。
对土壤要求不严，但在深厚肥沃、排水良好的土壤中生长最佳。
观赏与应用
是著名的园林观赏树种，常用于城市绿化和庭院美化。
木材具有香气，可用于制作家具、工艺品等。"
cedrus_deodara,喜马拉雅雪松,"形态特征
形态与大西洋雪松相似，但可能更为高大挺拔。
叶片和球果的特征也相似，但可能因生长环境的不同而有所差异。
生长习性
喜凉爽湿润的气候，耐寒性较强。
对土壤要求不严，但在深厚肥沃、排水良好的土壤中生长更佳。
观赏与应用
与大西洋雪松相似，也是优秀的园林观赏树种和木材来源。"
cedrus_libani,黎巴嫩雪松,"形态特征
形态上与其他雪松品种相似，但可能具有更为独特的枝叶形态和球果特征。
生长习性
喜凉爽湿润的气候条件。
观赏与应用
同样是珍贵的园林观赏树种和木材资源。"
celtis_occidentalis,美洲朴,"形态特征
落叶乔木或灌木，树形高大。
树皮灰褐色，有纵裂纹。
叶片卵形或椭圆形，边缘有锯齿。
果实为核果，成熟时黑色。
生长习性
耐寒、耐旱、耐盐碱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
木材可用于家具制作和建筑领域。
在园林景观中也有一定的应用价值。"
celtis_tenuifolia, 细叶枳,"形态特征
常绿灌木或小乔木，叶片细小而密集，三出复叶。
花朵白色或淡黄色，具有芳香。
果实为圆形或扁圆形，成熟时橙黄色。
生长习性
喜温暖湿润的气候条件。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
常用于盆景制作和园林绿化。
果实可食用或药用。"
cercidiphyllum_japonicum,连香树,"形态特征
落叶大乔木，树形高大，树冠呈圆锥形。
叶片宽大，单叶对生，边缘有锯齿，秋季变黄或红色，非常美丽。
花朵小而不显眼，黄绿色，春季开放。
果实为蒴果，内含多粒种子。
生长习性
喜温暖湿润的气候条件，耐寒性较强。
对土壤要求不严，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
因其秋季叶色美丽而备受喜爱，是优秀的观叶树种。
木材也有一定的利用价值。"
cercis_canadensis, 加拿大紫荆,"形态特征
落叶灌木或小乔木，树形优美。
叶片心形或卵形，边缘有锯齿。
花朵紫红色或粉红色，大而美丽，春季开放，成簇生于老枝上。
生长习性
喜光、耐寒、耐旱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
是优秀的观花树种，常用于庭院绿化和景观营造。"
chamaecyparis_pisifera,羽叶花柏,"形态特征
常绿乔木，树冠浓密，枝条柔软下垂。
叶片呈羽状排列，扁平而柔软，形似羽毛。
生长习性
喜温暖湿润的气候条件。
对土壤要求不严，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
因其独特的枝叶形态而备受喜爱，是优秀的观赏树种。"
chamaecyparis_thyoides,美国尖叶扁柏,"形态特征
常绿乔木，树形挺拔。
叶片尖细，呈扁平状，排列紧密。
球果较小，成熟时呈蓝黑色。
生长习性
耐寒、耐旱、耐盐碱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
常用于行道树、庭院树或景观树。"
chionanthus_retusus,流苏树,"形态特征
落叶灌木或小乔木，树形优美。
叶片椭圆形或卵形，边缘有锯齿。
春季开花，花朵白色，细小而密集，形成下垂的流苏状花序，非常美丽。
生长习性
喜光、耐寒、耐旱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
是优秀的观花树种，常用于庭院绿化和景观营造。"
chionanthus_virginicus,美国流苏树,"形态特征
形态上与中国流苏树相似，但可能具有更为独特的枝叶形态和花序特征。
生长习性
喜温暖湿润的气候条件。
观赏与应用
与中国流苏树相似，也是优秀的观花树种。"
cladrastis_lutea,深黄香槐,"形态特征
落叶乔木或灌木，树形优美。
叶片绿色，复叶对生，小叶呈椭圆形或卵形。
花朵黄色，具有浓郁的芳香，是夏季的观赏亮点。
生长习性
喜光、耐寒、耐旱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
因其芳香的花朵而备受喜爱，是优秀的观花树种。
木材和树皮也有一定的经济价值。"
cornus_florida,大花四照花,"形态特征
落叶灌木或小乔木，树形优美。
叶片绿色，对生或互生。
花朵大而美丽，通常为白色或粉红色，春季开放。
秋季果实成熟时呈鲜红色，非常引人注目。
生长习性
喜光、耐寒、耐旱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
是优秀的观花和观果树种，常用于庭院绿化和景观营造。"
cornus_kousa,日本四照花,"形态特征
形态上与大花四照花相似，但可能具有更为独特的枝叶形态和果实特征。
生长习性
喜温暖湿润的气候条件。
观赏与应用
与大花四照花相似，也是优秀的观花和观果树种。"
cornus_mas,欧洲山茱萸,"形态特征
落叶灌木或小乔木，树形紧凑。
叶片羽状复叶，小叶呈椭圆形或卵形。
花朵白色或粉红色，春季开放。
果实红色或黄色，形似鸡脚，故名鸡脚山楂。
生长习性
喜光、耐寒、耐旱。
观赏与应用
果实可食用或制作成果酱等食品，同时树形和花朵也具有一定的观赏价值。"
crataegus_crus-galli,鸡脚山楂,"形态特征
落叶灌木或小乔木，树形紧凑。
叶片羽状复叶，小叶呈椭圆形或卵形。
花朵白色或粉红色，春季开放。
果实红色或黄色，形似鸡脚，故名鸡脚山楂。
生长习性
喜光、耐寒、耐旱。
观赏与应用
果实可食用或制作成果酱等食品，同时树形和花朵也具有一定的观赏价值。"
crataegus_laevigata,亮叶山楂,"形态特征
落叶灌木或小乔木，树形紧凑。
叶片光滑且光亮，通常为椭圆形或卵形。
花朵白色或粉红色，春季开放，香气浓郁。
果实红色或黄色，可食用或制作成果酱等食品。
生长习性
喜光、耐寒、耐旱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
果实和花朵均具观赏价值，同时果实也可食用。"
