category_name,chinese_name,description
crataegus_phaenopyrum,北美海棠,"形态特征
落叶小乔木或大灌木，树形优美。
叶片绿色，有时带有红晕。
花朵粉色、白色或红色，春季开放，非常美丽。
果实多为红色或黄色，有的品种果实可食用。
生长习性
喜光、耐寒、耐旱。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
是优秀的观花和观果树种，常用于庭院绿化和景观营造。"
crataegus_pruinosa,白霜山楂,"形态特征
与普通山楂相似，但果实表面覆盖有一层白色霜状物质，使其看起来更加独特。
生长习性
与普通山楂相似，喜光、耐寒、耐旱。
观赏与应用
果实表面的白霜增加了其观赏价值，同时果实也可食用或制作成果酱等食品。"
crataegus_viridis,山楂,"形态特征
树形：Crataegus viridis通常呈树状，具有较高的树高和树幅。具体而言，其树高可达20-35英尺（约6-11米），树幅也相当，这使得它在园林景观中具有一定的视觉冲击力。
开花：该植物在五月开花，花朵颜色可能因品种和生长环境而异，但通常山楂属植物的花朵以白色或粉色为主，形成美丽的花簇。
生长习性
适应性：Crataegus viridis对生长环境有一定的适应性，但具体养护条件可能因品种和地理位置而异。
养护成本：一般来说，其养护成本相对较低，适合作为园林绿化植物进行种植。
观赏与应用
观赏价值：由于其独特的树形、美丽的花朵和相对较低的养护成本，Crataegus viridis在园林景观设计中具有较高的观赏价值。它可以作为行道树、庭荫树或孤植树种植，为城市绿化增添一抹亮色。
其他应用：除了观赏价值外，Crataegus viridis的果实和叶子也可能具有一定的药用价值或经济价值，但具体用途需要根据品种和生长环境进行评估。"
cryptomeria_japonica,圆球柳杉,"形态特征
常绿乔木，树冠紧密且呈圆球形，因此得名“圆球柳杉”。
叶片呈针状，密集排列在枝条上，呈深绿色。
树皮红褐色，光滑或有裂纹。
生长习性
喜温暖湿润的气候条件，但也能适应较寒冷的环境。
对土壤要求不严，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
因其独特的树形而备受喜爱，是优秀的观赏树种，常用于庭院绿化、公园景观和行道树。"
diospyros_virginiana,弗吉尼亚柿,"形态特征
落叶或常绿乔木（根据品种和生长环境而异），树形高大。
叶片椭圆形或卵形，表面光滑。
花朵小而不显眼，黄绿色。
果实为柿子，成熟时呈橙黄色或红色，可食用。
生长习性
喜光、耐寒、耐旱，对土壤适应性广。
观赏与应用
果实可食用，同时树形也具有一定的观赏价值，适合作为庭院树或景观树。"
eucommia_ulmoides,杜仲树,"形态特征
落叶乔木，树形高大，树冠开展。
叶片椭圆形或卵形，边缘有锯齿。
树皮灰色，粗糙。
生长习性
喜温暖湿润的气候条件，耐寒性较强。
对土壤要求不严，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
树皮和叶子含有杜仲胶，具有独特的经济价值。同时，树形也具有一定的观赏价值。"
evodia_daniellii,臭檀吴萸,"形态特征
常绿乔木或灌木，树形紧凑。
叶片革质，有光泽，通常为奇数羽状复叶。
花朵小，黄色或白色，组成圆锥花序。
果实为蒴果，成熟时开裂，散发特殊气味。
生长习性
喜温暖湿润的气候条件，不耐寒。
对土壤适应性广，但在肥沃、排水良好的土壤中生长更佳。
观赏与应用
因其独特的香气和药用价值而受到关注，同时树形也具有一定的观赏价值。"
fagus_grandifolia,美国水青冈,"形态特征
落叶大乔木，树形高大优美。
叶片宽大，秋季变为金黄色，非常美丽。
果实为坚果，包裹在硬壳内。
观赏与应用
是优秀的行道树和庭荫树种，秋季的叶色变化尤为壮观。
木材坚硬耐用，具有较高的经济价值。"
ficus_carica,无花果,"形态特征
落叶灌木或小乔木，树形开张。
叶片宽大，绿色。
果实为隐花果，内部充满细小的花序和果肉，味道甜美。
观赏与应用
果实可食用，营养丰富。
树形和叶片也具有一定的观赏价值，常用于庭院绿化。"
fraxinus_nigra,黑梣木,"形态特征
落叶大乔木，树形高大挺拔。
叶片形似马褂，秋季变为金黄色。
花朵形似郁金香，非常美丽。
观赏与应用
是优秀的行道树和庭荫树种，秋季的叶色变化尤为壮观。
木材也是高档家具和建筑材料的优质来源。"
fraxinus_pennsylvanica,洋白蜡,"形态特征
落叶乔木，树形高大。
叶片对生，绿色。
果实为翅果，成熟时带有翅膀，易于传播。
观赏与应用
是优秀的行道树和庭荫树种，对土壤和气候的适应性较强。
木材也具有一定的经济价值。"
ginkgo_biloba,银杏,"形态特征
落叶大乔木，树形优美。
叶片扇形，秋季变为金黄色。
果实为银杏果，外被白粉。
观赏与应用
是著名的观赏树种，秋季的叶色变化尤为美丽。
银杏果和叶片也具有一定的药用价值。"
gleditsia_triacanthos,美国皂荚,"形态特征
落叶乔木或灌木，树形开张。
叶片复叶，小叶呈椭圆形或卵形。
果实为荚果，内含多颗种子，种子外被硬刺。
观赏与应用
果实和树形具有一定的观赏价值。
木材和种子也具有一定的经济价值。"
gymnocladus_dioicus,美国肥皂荚,"美国肥皂荚 ( Gymnocladus dioicus (L. ) K. Koch)属豆科肥皂荚属。
株高可达30M，胸径可达1.2M。树冠卵圆，冠幅达15M。
枝无刺，雌雄异株，雌株花序圆锥形顶生，雄株花簇生状，花绿白色，花期6月"
halesia_tetraptera,四翅银钟花,"形态特征
落叶乔木或灌木，树形优美。
叶片对生或互生，绿色。
花朵白色或粉红色，春季开放，香气浓郁。
果实成熟时呈红色或黑色，带有四个翅膀。
观赏与应用
是优秀的观花和观果树种，果实和树形都具有一定的观赏价值。"
ilex_opaca,北美冬青,"形态特征
落叶灌木或小乔木，树形紧凑。
叶片常绿或冬季落叶，具体因品种而异。
果实为红色或橙色的小浆果，冬季不落，非常美丽。
观赏与应用
是优秀的观果树种，冬季的果实尤为引人注目。
常用于切枝观赏和盆栽。"
juglans_cinerea,灰胡桃,"形态特征
落叶乔木，树形高大。
叶片复叶，小叶呈椭圆形或卵形。
果实为坚果，外被硬壳。
观赏与应用
木材坚硬耐用，是家具和建筑材料的优质来源。
树形和叶片也具有一定的观赏价值。"
juglans_nigra,黑核桃木,"形态特征
落叶乔木，树形高大。
叶片和果实特征与灰胡桃相似，但具体形态可能有所不同。
观赏与应用
木材价值极高，被誉为“硬木之王”，广泛用于家具、地板和乐器制作。
树形和叶片也具有一定的观赏价值。"
juniperus_virginiana,北美圆柏,"形态特征
常绿乔木或灌木，树形紧凑。
叶片为针状，密集排列。
果实为球果，内含种子。
观赏与应用
是优秀的常绿观赏树种，常用于园林绿化和盆栽。
木材和种子也具有一定的经济价值。"
koelreuteria_paniculata,栾树,"形态特征
落叶乔木或灌木，树形高大。
叶片复叶，小叶呈卵形或椭圆形。
夏季开花，花朵黄色，秋季果实成熟时呈红色或褐色，形似灯笼。
观赏与应用
是优秀的观花和观果树种，夏季的花朵和秋季的果实都非常美丽。
木材也具有一定的经济价值。"
larix_decidua,欧洲落叶松,"形态特征
落叶乔木，树形高大挺拔。
叶片针状，秋季落叶。
果实为球果，成熟时开裂。
观赏与应用
是优秀的观赏树种，秋季的叶色变化尤为美丽。
木材也具有较高的经济价值。"
liquidambar_styraciflua,北美枫香,"形态特征
落叶乔木，树形高大。
叶片掌状分裂，秋季变为红色、黄色或橙色，非常美丽。
果实为翅果，带有翅膀，易于传播。
观赏与应用
是著名的秋色叶树种，秋季的叶色变化尤为壮观。
木材也具有一定的经济价值。"
liriodendron_tulipifera,北美鹅掌楸,"形态特征
落叶大乔木，树形高大挺拔。
叶片形似马褂，秋季变为金黄色。
花朵形似郁金香，非常美丽。
观赏与应用
是优秀的行道树和庭荫树种，秋季的叶色变化尤为壮观。
木材也是高档家具和建筑材料的优质来源。"
maclura_pomifera,橙桑,"形态特征
落叶乔木或灌木，树形开张。
叶片绿色，有时带有红晕，秋季可能变色。
果实为桑葚，成熟时呈橙红色，味道甜美多汁。
观赏与应用
果实可食用，营养价值高。
树形和叶片也具有一定的观赏价值，适合庭院绿化。"
magnolia_acuminata,渐尖木兰,"形态特征
常绿或落叶乔木，具体取决于种类。
叶片渐尖，花大且香，花瓣多为白色或粉色。
观赏与应用
是优秀的观花树种，花朵美丽且香气浓郁。
在园林中常用于庭院绿化和行道树。"
magnolia_denudata,白兰树,"形态特征
常绿乔木，树形高大。
叶片革质，花白色，香气浓郁。
观赏与应用
是著名的香花树种，花朵和香气都非常受人喜爱。
常用于庭院绿化和盆栽观赏。"
magnolia_grandiflora,荷花木兰,"形态特征
常绿乔木，树形高大。
叶片厚革质，花大且白，形似荷花。
观赏与应用
是优秀的行道树和庭荫树种，花朵美丽且香气宜人。"
magnolia_macrophylla,美国厚朴,"形态特征
常绿或落叶乔木，具体取决于种类。
叶片和花朵特征与木兰属其他种类相似，但具体形态可能有所不同。
观赏与应用
因其独特的形态和美丽的花朵而具有观赏价值。"
magnolia_stellata,星花木兰,"形态特征
花朵可能具有特殊的星形或其他独特形状。
观赏与应用
因其独特的花朵形态而具有较高的观赏价值。"
magnolia_tripetala,三瓣木兰,"形态特征
花朵可能具有独特的三瓣或近似三瓣的结构，与其他木兰品种相比，其花瓣数量或排列方式较为特殊。
花色可能因品种而异，多为白色、粉色或淡紫色。
观赏与应用
因其独特的花朵形态而具有较高的观赏价值，适合用于庭院绿化、花坛布置或盆栽观赏。"
magnolia_virginiana,弗吉尼亚木兰,"形态特征
落叶乔木，树形优美。
叶片宽大，深绿色，有光泽。
花朵大而香，通常为白色或淡粉色，花瓣厚实，质感如丝绒。
观赏与应用
是弗吉尼亚州的州花，具有极高的观赏价值。
常用于庭院绿化、公园景观和行道树种植。"
malus_baccata,山荆子,"形态特征
落叶乔木，树形高大。
叶片椭圆形至卵形，边缘有锯齿。
春季开花，花朵小而密集，白色或淡粉色。
果实为小球形，成熟时呈黄色或红色，可食用但味道酸涩。
观赏与应用
春季观花，秋季观果，是优秀的观赏树种。
木材也具有一定的经济价值。"
malus_coronaria,美国海棠,"形态特征
落叶灌木或小乔木，树形紧凑或开张。
叶片形态和大小因品种而异。
花朵大而艳丽，多为粉色、红色或白色，有时带有条纹或斑点。
果实形状和大小也各不相同，有的品种果实可食用。
观赏与应用
是优秀的观花和观果树种，常用于庭院绿化和盆栽观赏。"
malus_floribunda,多花海棠,"形态特征
与其他海棠品种相似，但花朵数量更多，花期更长。
花朵形态和颜色因品种而异，但通常都非常美丽。
观赏与应用
因其多花特性而具有更高的观赏价值，适合用于花坛布置、庭院绿化或盆栽观赏。"
malus_hupehensis,湖北海棠,"形态特征
落叶乔木或灌木，树形开张。
叶片椭圆形至卵形，边缘有锯齿。
春季开花，花朵小而密集，白色或淡粉色。
果实为小球形，成熟时呈黄色或红色，可食用但味道一般。
观赏与应用
春季观花，秋季观果，是具有一定观赏价值的树种。"
malus_pumila,苹果,"形态特征
树体：苹果树是落叶乔木，通常树木可高至15米，但栽培树木一般只高3-5米左右。树干呈灰褐色，树皮有一定程度的脱落。
枝叶：小枝短而粗，圆柱形，幼嫩时密被绒毛，老枝紫褐色，无毛。叶片椭圆形、卵形至宽椭圆形，长4.5-10厘米，宽3-5.5厘米，先端急尖，基部宽楔形或圆形，边缘具有圆钝锯齿，幼嫩时两面具短柔毛，长成后上面无毛。
花朵：苹果是异花授粉植物，大部分品种自花不能结成果实。花为伞形花序，具3-7花，集生于小枝顶端，花梗长1-2.5厘米，密被绒毛。花瓣倒卵形，长1.5-1.8厘米，白色，含苞时带粉红色。
营养价值：苹果富含矿物质和维生素，如可溶性固形物、总糖、总酸和维生素C等，对人体健康有益。
生长习性
花期与果期：苹果树的花期一般集中在4-5月份，果期则因品种而异，一般为7-10月。早熟品种果实成长期较短，晚熟品种则较长。
适应性：苹果树适应性强，能在多种土壤类型和气候条件下生长。但一般来说，它更喜欢温暖湿润、阳光充足的环境。"
metasequoia_glyptostroboides,水杉,"形态特征
落叶乔木，树形高大挺拔。
叶片呈条形，秋季变为深红色。
观赏与应用
是著名的观赏树种，特别是秋季的叶色变化非常美丽。"
morus_alba,桑,"形态特征
落叶乔木或灌木，叶片绿色，果实为桑葚。红果桑的果实成熟时呈红色。
观赏与应用
果实可食用，营养丰富。
树形和叶片也具有一定的观赏价值。"
morus_rubra,红果桑,"形态特征
落叶乔木或灌木，叶片绿色，果实为桑葚。红果桑的果实成熟时呈红色。
观赏与应用
果实可食用，营养丰富。
树形和叶片也具有一定的观赏价值。"
nyssa_sylvatica,多花蓝果树,"形态特征
落叶乔木，树形高大。叶片掌状分裂，秋季变为金黄色。果实为核果，成熟时呈蓝黑色。
观赏与应用
是优秀的秋色叶树种，秋季的叶色变化尤为美丽，也适合作为湿地或水边的观赏树种。"
ostrya_virginiana,弗吉尼亚铁木,"形态特征
常绿或落叶乔木（具体取决于种类），木材坚硬，常用于制作家具和工艺品。
观赏与应用
树形优美，叶片和果实也具有一定的观赏价值。"
oxydendrum_arboreum,酸模树,"形态特征
落叶灌木或小乔木，叶片宽大，秋季变为红色。果实为翅果，具有观赏价值。
观赏与应用
秋季的叶色变化美丽，适合作为观赏树种。"
paulownia_tomentosa,毛泡桐,"形态特征
落叶乔木，生长迅速。叶片大而宽，背面密被星状绒毛。花朵大而美丽，呈紫色或白色。
观赏与应用
是优秀的观赏树种和行道树，木材也具有一定的经济价值。"
phellodendron_amurense,黄檗,"形态特征
落叶乔木，树皮灰褐色，有浅纵裂纹。叶片纸质，奇数羽状复叶。果实为浆果状核果，成熟时黑色。
观赏与应用
树皮和叶片具有一定的观赏价值，同时其木材和树皮也是重要的中药材来源。"
picea_abies,欧洲云杉,"形态特征
乔木，在原产地高达60米，胸径达4-6米。
幼树树皮薄，老树树皮厚，裂成小块薄片。
小枝常下垂，幼枝淡红褐或桔红色，无毛或疏被毛。
冬芽圆锥形，先端尖，芽鳞淡红褐色，上部芽鳞反卷。
叶四棱状条形，直或弯，先端尖，横切面斜方形，四面有粉白色气孔线。
球果圆柱形，长10-15厘米，稀达18.5厘米，成熟时褐色；种子长约4毫米，种翅长约16毫米。
生长环境
耐阴能力较强，喜酸性至微酸性的棕土或褐棕土。
分布于年平均412℃、年降水量400900毫米、年相对湿度60%以上的高山地带或高纬度地区。
抗寒性较强，能忍受-30℃以下低温，但嫩枝抗霜性较差。
主要价值
观赏：树形美观，成年大树树冠尖塔形，枝条浓密，针叶鲜绿色，新叶黄绿色，是优美的庭园树种。
经济：木材可作电杆、枕木、桥梁等用材，还可用于制作乐器、滑翔机等，并是造纸的原料。针叶含油，可提取芳香油，树皮可提取单宁。"
picea_orientalis,高加索云杉,"形态特征
常绿乔木，在产地高达60米，胸围4米，树冠圆锥形。
树皮棕褐色，呈鳞片状剥落。
嫩枝细，光滑，淡棕色，密生长柔毛；芽圆锥形，渐尖，芽鳞栗褐色。
叶在嫩枝上为圆锥状、二列，上部的通常覆盖状，整齐，先端尖锐；下部的左、右展开，深绿色，有光泽，先端钝斜或圆。
球果窄圆柱形，顶端渐尖，成熟时变为褐色；种子带黑色，长0.4厘米，连翅长约1.3厘米。
生长环境
生长于低海拔到海拔2600米的山地。
耐荫、喜潮湿，通常生长在棕色森林土壤上，也出现在石质和岩石斜坡上。
主要价值
木材质量良好，用途广泛，包括建筑、地板、木工、家具制造和乐器零件。
嫩芽尖可制成提神茶，富含维生素C。"
picea_pungens,蓝粉云杉,"形态特征
常绿乔木，株高9-15米，冠幅3-6米，树形柱状至金字塔状，结构紧凑。
树皮灰色，一年生小枝棕褐色。
叶四棱，锐尖粗壮，呈蓝灰绿色，螺旋状排列在灰色小枝上，向上弯曲生长，有灰绿色蜡粉。
雄球花卵圆形单生，个大且呈黄绿色，聚生新枝顶端；球果柱形，呈绿色，成熟时淡灰褐色。
生长环境
原产于北美地区，分布于美国亚利桑那州、爱达荷州、犹他州、怀俄明州和科罗拉多州。"
pinus_bungeana,白皮松,"形态特征
常绿乔木，树皮灰白色，呈不规则鳞片状脱落。叶片三针一束，球果较大。
观赏与应用
树形优美，树皮独特，是优秀的观赏树种和园林树种。"
pinus_cembra,瑞士松,"形态特征
具体形态因种类而异，但通常为常绿乔木，叶片呈针状。
观赏与应用
在园林和造林中有广泛应用。"
pinus_densiflora,赤松,"生长环境
喜光，抗风力强，能耐贫瘠土壤，不耐盐碱土，常生于温带沿海山区及平原地带。
经济价值
赤松木材纹理直，质地坚硬，结构较细，耐腐力强，可用于制作电杆、枕木、家具、火柴杆等。
种子可榨油，供食用及工业用；针叶也可提取芳香油。
因其抗风力较强，还可作辽东半岛等沿海山地的造林树种。"
pinus_echinata,萌芽松,"生长环境
主要生长在海拔150-600米山麓，各种各样的土壤均能生长，但在排水良好，湿润的砂质壤土或粉质壤土上生长较好。
经济价值
主要用于木材、胶合板、其他结构材料和纸浆，有时被用作常绿观赏植物和城市地区的屏障。"
pinus_flexilis,软叶五针松,"经济价值
树姿优美，木材可供建筑、家具、造船等多种用途，种子、树皮及树脂都具有很高的营养价值和药用价值。"
pinus_koraiensis,红松,"形态特征
树高与树幅：树高可达30-50米（有资料称可达50米），树幅可达25至35英尺（约7.6至10.7米）。
树皮：幼树树皮灰褐色，近平滑；大树树皮灰褐色或灰色，纵裂成不规则的长方鳞状块片脱落，内皮红褐色。
枝条：一年生枝密被黄褐或红褐色绒毛；冬芽淡红褐色，长圆状卵圆形，微被树脂。
叶：针叶5针一束，长6-12厘米，粗硬，边缘有细锯齿，树脂道3个，中生。
果：球果圆锥状卵形、圆锥状长卵形或卵状长圆形，长9-14厘米，径6-8厘米，熟时种鳞不张开或微张开；种子倒卵状三角形，长1.2-1.6厘米，微扁，暗紫褐或褐色，无翅。
生态习性
产地与分布：主要分布于中国东北的小兴安岭到长白山一带，以及俄罗斯、日本、朝鲜的部分区域。在中国，红松自然分布区大致与长白山、小兴安岭山系所蔓延的范围相一致。
生境与海拔：生长于高海拔高山带阴坡、半阴坡或湿润肥沃的中山带山坡，海拔范围在150-1800米之间。红松喜光性强，对土壤水分要求较高，不宜过干、过湿的土壤及严寒气候。在温寒多雨，相对湿度较高的气候与深厚肥沃、排水良好的酸性棕色森林土上生长最好。
经济价值
红松是我国东北小兴安岭、长白山林区天然林中主要的森林组成树种，也是东北各地分布较广的主要造林绿化树种之一。红松具有多种经济价值，如用材、造林、食用等。其木材材质较软细致，容易加工，纹理直，结构细，比重适中，是优良的用材树种。"
pinus_nigra,黑松,"经济价值
可作建筑、矿柱、器具、板料及薪炭等用材，亦可提取树脂，造纸或提炼精油。"
pinus_parviflora,大阪松,"特征：常绿针叶树种，日本五针松的栽培变种（品种）之一。叶五针一束，叶色偏黄，植株矮小，姿态古朴苍劲。枝叶紧密，平展，有如层云簇涌之状。
生长环境：为强阳性树种，不耐荫；耐寒性强，忌炎热；耐干旱，不耐水湿。
主要价值：多作为盆景选材，因其芽叶密度高、长势强、色泽好而受喜爱。"
pinus_peucea,马其顿松,"形态特征
植物类型：常绿乔木
枝叶：枝轮生，芽鳞多数，覆瓦状排列。叶有两型，鳞叶（原生叶）单生，螺旋状着生；针叶（次生叶）螺旋状着生，辐射伸展，常2针、3针或5针一束，每束针叶基部由8-12枚芽鳞组成的叶鞘所包。
球果：球花单性，雌雄同株；雌球花单生或2-4个生于新枝近顶端，直立或下垂。球果直立或下垂，第二年（稀第三年）秋季成熟，熟时种鳞张开，种子散出；种子上部具长翅，种翅与种子结合而生。
经济价值
木材：Pinus peuce的木材可用于建筑、家具、农具等多种用途。
其他产品：其种子可榨油，松花粉、松节、松针及松节油等也有一定的药用价值。"
pinus_pungens,刺松,"特征
常绿乔木，高达20米。树皮暗褐色，纵裂，呈薄片状剥落。大枝向上开展，小枝下垂，棕色或带黄色，具3棱。
主要价值
树形优美、耐寒、适应能力强，常用作行道树、隔篱带树种，也是盆景爱好者的素材之一。"
pinus_resinosa,红松,"特征
常绿乔木，树高可达30米，胸径1米。树皮纵裂成不规则的长方鳞状片块，裂片脱落后露出红褐色的内皮。针叶5针一束，球果圆锥状卵圆形。
经济价值
木材轻软、细致、纹理直、耐腐蚀性强，为建筑、桥梁、枕木、家具优良用材；树皮可提取栲胶，树干可采松脂；种子供食用或药用。"
pinus_rigida,刚松,"特征
乔木，在原产地高达25米。幼树树皮灰色或暗灰色，大树树皮暗灰褐色或黑灰色；针叶3针一束，坚硬；球果聚生于小枝基部，圆锥状卵圆形。
生长习性
耐寒、耐旱、耐瘠薄，在土壤肥沃、排水良好、光照充足的地方适宜生长。
主要价值
树形优美，为优良庭园观赏树种；材质松、软，纹理粗，多树脂，与地面接触不朽，耐用，可供建筑材料和做家具等。"
pinus_strobus,美国白松,"特征
乔木，在原产地树高30-50米。树皮厚，深裂，紫色；针叶5针一束，细柔；球果熟时红褐色，窄圆柱形，稍弯曲。
经济价值
主要用于木材、胶合板、其他结构材料和纸浆。"
pinus_sylvestris,欧洲赤松,"特征
常绿乔木，高达35米。树皮灰色或暗灰褐色，裂成鳞状块片脱落；针叶2针一束，深绿色，有光泽；球果成熟前绿色，熟时黄褐色或淡褐色。"
pinus_taeda,火炬松,"特征
常绿乔木，高达30米。树皮灰褐色或暗红褐色，老树皮呈鳞片状开裂；针叶3针一束，较粗硬；球果卵状圆锥形或窄圆锥形，熟时栗褐色。
生长习性
适应性强，耐干旱、瘠薄，能在多种土壤上生长。"
pinus_thunbergii,黑松,"形态特征
幼树树皮暗灰色，老则灰黑色，树冠无毛。
针叶深绿色，有光泽，粗硬。
雄球花淡红褐色，圆柱形；雌球花直立有梗，卵圆形，淡紫红色或淡褐红色。
球果成熟前绿色，熟时褐色，圆锥状卵圆形或卵圆形。
生态习性
喜温暖至高温、湿润至干燥、向阳之地。
树性强健，生长缓慢，寿命长。
耐寒、耐热、耐旱、耐瘠，最宜在土层深厚、土质疏松且含有腐殖质的砂质土壤处生长，也可在海滩盐土地方生长。
应用价值
黑松叶可入药，有祛风活血、明目安神、解毒和燥湿止痒功效。
可作建筑、矿柱、器具、板料及薪炭等用材，亦可提取树脂，造纸或提炼精油。"
pinus_virginiana,矮松,"形态特征
小乔木，在原产地高15米，或可长成30米高的大乔木。
树皮浅裂成鳞状块片；枝平展或下垂，枝皮平滑；枝条每年生长多轮，小枝暗褐红色，有白粉；冬芽矩圆形，深褐色，富树脂。
叶2针一束，长4-8厘米，径约1毫米，刚硬，常扭曲。
球果圆锥状卵圆形或矩圆形，对称，长4-6厘米，红褐色，有光泽，熟时种鳞张开，宿存树上数年不落。"
pinus_wallichiana,乔松,"形态特征
乔木，高达70米，胸径1米以上。
树皮暗灰褐色，裂成小块片脱落；枝条广展，形成宽塔形树冠。
一年生枝绿色，无毛，有光泽，微被白粉；冬芽圆柱状倒卵圆形或圆柱状圆锥形。
针叶5针一束，细柔下垂；球果圆柱形，下垂，中下部稍宽，上部微窄，两端钝，具树脂，种子褐色或黑褐色，椭圆状倒卵形。
生态习性
喜温和凉爽、湿润气候，有一定的耐寒能力，不耐炎热，能适应多种土壤，喜排水良好，最宜深厚、湿润、疏松的中性或微酸性壤土。"
platanus_acerifolia,悬铃木,"形态特征
落叶乔木，枝叶被树枝状及星状绒毛，树皮苍白色，薄片状剥落，表面平滑。
叶互生，大形单叶，有长柄，具掌状脉，掌状分裂，偶有羽状脉而全缘，具短柄，边缘有裂片状粗齿。
花单性，雌雄同株，排成紧密球形的头状花序。
果实由多数小坚果集合成球形的聚花果，小坚果基部围有长绒毛。
生态习性
喜光，喜湿润温暖气候，较耐寒。
适生于微酸性或中性、排水良好的土壤，微碱性土壤虽能生长，但易发生黄化。
根系分布较浅，台风时易受害而倒斜。
抗空气污染能力较强，叶片具吸收有毒气体和滞积灰尘的作用。"
platanus_occidentalis,一球悬铃木,"形态特征
落叶大乔木，高可达35米。
枝条开展，树冠广阔，呈长椭圆形。
树皮灰绿或灰白色，片状脱落。
叶片大，掌状3-5裂，裂片呈阔三角形，边缘有不规则尖齿和波状齿。
花序球形，单性，雌雄同株。
果实聚合成球形，宿存花柱极短。
生长习性
喜光，喜湿润温暖气候，较耐寒。
对土壤要求不严，但适生于微酸性或中性、排水良好的土壤。"
